gc-uuid,tran-id,gc-type-code,merchant-code,tran-type,tran-value,tran-date
327aaa82-abfb-4747-a1d1-8b42438119b3,bbcb881d-b76b-468d-a989-03d418def3a6,G-0001,M-0001,PURCHASE,25,2020-01-01
180f2f90-a1d7-4a2c-9b59-f5bc8adfca17,c67fd9f5-f175-41e1-b0a4-c4e4866b5fe5,G-0002,M-0002,PURCHASE,50,2020-01-01
5a31e817-f0c5-423c-ab12-7a74a678d7a6,5c8cd7d2-bfe2-48e0-97a2-01cf2611330c,G-0003,M-0003,PURCHASE,25,2020-04-01
54826d0b-cd56-4e11-83a8-5c384c16c2b8,e3769585-75ef-4e16-8c1b-0b9c15556564,G-0004,M-0004,PURCHASE,100,2020-01-01
287e115f-9a16-4f70-9eec-edcac7e19116,2fd396ae-2867-4dd8-9ce0-50fa13ad0b25,G-0005,M-0005,PURCHASE,25,2020-01-01
2e1be9b5-369c-4d53-a583-585c308c6148,ef1e471e-672c-4038-b755-bc7a8a435a85,G-0006,M-0006,PURCHASE,20,2020-03-01
327aaa82-abfb-4747-a1d1-8b42438119b3,0ef5233c-8acd-4d34-b33e-7eca9580d75c,G-0001,M-0001,REDEMPTION,12.5,2020-01-20
180f2f90-a1d7-4a2c-9b59-f5bc8adfca17,4a1b92ba-8ed1-4a0f-93dc-dce743c4b29c,G-0002,M-0002,REDEMPTION,29.99,2020-01-20
5a31e817-f0c5-423c-ab12-7a74a678d7a6,841b4f2f-1bf2-4aab-bf0d-b7c20c97ef81,G-0003,M-0003,REDEMPTION,13.99,2020-05-20
54826d0b-cd56-4e11-83a8-5c384c16c2b8,4f991993-6b72-47a5-8c2f-d0f88203e4da,G-0004,M-0004,REDEMPTION,75,2020-01-20
287e115f-9a16-4f70-9eec-edcac7e19116,6a00d29b-65d8-4293-a6ac-7f10def0959a,G-0005,M-0005,REDEMPTION,10,2020-01-20
2e1be9b5-369c-4d53-a583-585c308c6148,aa1079c9-cc61-4611-892a-f740e6418191,G-0006,M-0006,REDEMPTION,9.99,2020-06-20
2e1be9b5-369c-4d53-a583-585c308c6149,aa1079c9-cc61-4611-892a-f740e6418192,G-0007,M-0001,PURCHASE,75,2020-01-01
2e1be9b5-369c-4d53-a583-585c308c6149,aa1079c9-cc61-4611-892a-f740e6418193,G-0007,M-0001,REDEMPTION,42.99,2020-03-25
2e1be9b5-369c-4d53-a583-585c308c6149,aa1079c9-cc61-4611-892a-f740e6415432,G-0007,M-0001,REDEMPTION,2.01,2020-03-26
2e1be9b5-369c-4d53-a583-585c308c6199,ba1079c9-cc61-4611-892a-f740e6418126,G-0007,M-0001,PURCHASE,50,2020-05-01
2e1be9b5-369c-4d53-a583-585c308c6199,ba1079c9-cc61-4611-892a-f740e6418127,G-0007,M-0001,REDEMPTION,22,2020-05-01
2e1be9b5-369c-4d53-a583-585c308c7120,ba1079c9-cc61-4611-892a-f740e6418496,G-0007,M-0001,PURCHASE,50,2019-05-01
2e1be9b5-369c-4d53-a583-585c308c7120,ba1079c9-cc61-4611-892a-f740e6418864,G-0007,M-0001,REDEMPTION,27,2019-06-01
327aaa82-abfb-4747-a1d1-8b4243811234,acd079c9-cc61-4611-892a-f740e6418123,G-0001,M-0001,PURCHASE,25,2019-02-01
327aaa82-abfb-4747-a1d1-8b4243811235,acd079c9-cc61-4611-892a-f740e6418124,G-0001,M-0001,PURCHASE,50,2019-03-01
327aaa82-abfb-4747-a1d1-8b4243811236,acd079c9-cc61-4611-892a-f740e6418125,G-0001,M-0001,PURCHASE,75,2019-04-01
327aaa82-abfb-4747-a1d1-8b4243811234,acd079c9-cc61-4611-892a-f740e6418223,G-0001,M-0001,REDEMPTION,10,2019-03-01
327aaa82-abfb-4747-a1d1-8b4243811235,acd079c9-cc61-4611-892a-f740e6418224,G-0001,M-0001,REDEMPTION,12,2019-04-01
327aaa82-abfb-4747-a1d1-8b4243811236,acd079c9-cc61-4611-892a-f740e6418225,G-0001,M-0001,REDEMPTION,22,2019-05-01
