merchant-code,merchant-name,,,
M-0001,MetaBank,,,
M-0002,Adidas America Inc.,,,
M-0003,Staples Inc.,,,
M-0004,Starbucks Inc.,,,
M-0005,Subway,,,
M-0006,Panera Bread LLC.,,,
M-0007,Wayfair,,,
M-0008,CardFact 25 Inc.,,,
M-0009,Wolfermans ,,,
M-0010,Pop Corn Factory,,,
M-0011,Sunglass Hut,,,
M-0012,Petco Animal Supplies Inc,,,
M-0013,TCS Gift Card Services LLC.,,,
M-0014,Michaels Stores Card Services LLC.,,,
M-0015,BoxLunch,,,
M-0016,Stitch Fix ,,,
M-0017,Direct Consumer Services,,,
M-0018,TM Hat World Inc.,,,
M-0019,PacSun,,,
M-0020,Hollister,,,
M-0022,Guess Value LLC.,,,
M-0024,Brand Card Services LLC.,,,
M-0026,Finish Line,,,
M-0027,eBay,,,
M-0028,Kohls Value Services,,,
M-0029,Macys Gift Card LLC.,,,
M-0030,Saks Fifth Avenue,,,
M-0031,Belk Gift Card Company LLC.,,,
M-0032,BBIP LLC.,,,
M-0033,BBB Value Service Inc.,,,
M-0046,Microsoft Services,,,
M-0047,Audible,,,
M-0048,Nexon America Inc.,,,
M-0049, Marketing Control Services Inc.,,,
M-0050,Apple Inc. ,,,
